Bet,Date,Bookie,Bookies.Odds,Bookies.Decimal,Bookie.Stake,Bookie.Return,Exchange,Lay.Stake,Lay.Decimal,value_ratio,lay_win,Lay.Return.Total,Liability,Profit,Win.Loss,E1.Profit,AB.Profit,AB.E1,implied_prob_back,implied_prob_lay,edge_prob,exposure,roi_exposure,win01
Super Boost Everton vs Tottenham,2025-01-19,Bet365,2.5,3.5,10,35,Smarkets,10,3.1,1.13,20,31,21,4,Win,4,4,Both,0.285714285714286,0.32258064516129,0.0368663594470046,31,0.129032258064516,1
Super Boost Ravens vs Bills,2025-01-19,Bet365,1,2,10,20,Smarkets,10,1.81,1.1,20,18.1,8.1,1.9,Loss,-0.2,-0.2,Both,0.5,0.552486187845304,0.0524861878453039,18.1,-0.0110497237569061,0
Super Boost Ollie Watkins Over 0.5 SOT,2025-01-21,Bet365,1,2,10,20,Betfair Exchange,10,1.67,1.2,20,16.7,6.7,3.3,Win,0,3.3,AB,0.5,0.598802395209581,0.0988023952095809,16.7,0.197604790419162,1
"Haaland, Foden & De Bruyne 1+ SOT",2025-01-22,PP,1,5,10,50,Smarkets,10,4.8,1.04,20,48,38,2,Loss,0,-0.2,AB,0.2,0.208333333333333,0.00833333333333333,48,-0.00416666666666667,0
Super Boost TSG Hoffenheim v Tottenham,2025-01-23,Bet365,1,3,10,30,Smarkets,10,2.84,1.06,20,28.4,18.4,1.6,Win,0,1.6,AB,0.333333333333333,0.352112676056338,0.0187793427230047,28.4,0.0563380281690141,1
Jay Stansfield 1.5+ SOT,2025-01-23,Sky Bet,1,4,10,40,Smarkets,10,3.7,1.08,20,37,27,3,Loss,0,-0.2,AB,0.25,0.27027027027027,0.0202702702702702,37,-0.00540540540540541,0
Super Boost Mo Salah Score or Assist,2025-01-25,Bet365,1,2,10,20,Smarkets,10,1.6,1.25,20,16,6,4,Win,4,4,Both,0.5,0.625,0.125,16,0.25,1
Super Boost Mbeumo and Eze 1+ SOT,2025-01-26,Bet365,2,3,10,30,Betdaq,10,2.79,1.08,20,27.9,17.9,2.1,Win,2.1,2.1,Both,0.333333333333333,0.3584229390681,0.025089605734767,27.9,0.0752688172043011,1
Mateta and Mbeumo SOT 1+,2025-01-26,Betway,3,4,10,40,Betdaq,10,3.1,1.29,20,31,21,9,Win,0,9,AB,0.25,0.32258064516129,0.0725806451612903,31,0.290322580645161,1
Bruno 1+ SOT,2025-01-26,Sky Bet,1,2,10,20,Smarkets,10,1.9,1.05,20,19,9,1,Loss,0,-0.2,AB,0.5,0.526315789473684,0.0263157894736842,19,-0.0105263157894737,0
Rossa Ryan to ride 1+ winners today,2025-01-28,Sky Bet,0.67,1.67,20,33.4,Betdaq,20,1.51,1.11,40,30.2,10.2,3.2,Loss,0,-0.4,AB,0.598802395209581,0.662251655629139,0.0634492604195582,30.2,-0.0132450331125828,0
Constitution Hill & Jonbob both to win,2025-01-28,Sky Bet,4,5,10,50,Betdaq,10,4.3,1.16,20,43,33,7,Loss,0,-0.2,AB,0.2,0.232558139534884,0.0325581395348837,43,-0.00465116279069767,0
PSV Liverpool 10.5+ shots on target,2025-01-29,Sky Bet,1.5,2.5,10,25,Smarkets,10,2.38,1.05,20,23.8,13.8,1.2,Loss,0,-0.2,AB,0.4,0.420168067226891,0.0201680672268907,23.8,-0.00840336134453781,0
Bayern to win -5.5 handicap vs Slovan Bratislava,2025-01-29,Unibet,3,4,10,40,Betdaq,10,3.05,1.31,20,30.5,20.5,9.5,Loss,0,-0.2,AB,0.25,0.327868852459016,0.0778688524590164,30.5,-0.00655737704918033,0
Super Boost Aston Villa vs Celtic Over 0.5 goals first half,2025-01-29,Bet365,1,2,10,20,Smarkets,10,1.37,1.46,20,13.7,3.7,6.3,Win,0,6.3,AB,0.5,0.72992700729927,0.22992700729927,13.7,0.45985401459854,1
SuperBoost Forest over 0.5 goals,2025-01-31,Bet365,1,2,10,20,Smarkets,10.15,1.37,1.46,20.3,13.91,3.76,6.24,Win,6.24,6.24,Both,0.5,0.72992700729927,0.22992700729927,13.76,0.453488372093023,1
Power Price Rugby France vs Wales,2025-01-31,PP,1,2,10,20,Smarkets,10,1.63,1.23,20,16.3,6.3,3.7,Win,3.7,3.7,Both,0.5,0.613496932515337,0.113496932515337,16.3,0.226993865030675,1
Galopin Des Champs to win,2025-02-01,Sky Bet,1,2,10,20,Smarkets,10,1.59,1.14,20,15.9,5.9,4.1,Win,4.1,4.1,Both,0.5,0.628930817610063,0.128930817610063,15.9,0.257861635220126,1
Vinicius 1+ SOT,2025-02-12,Sky Bet,1,2,10,40,Smarkets,10.2,1.83,1.08,20.4,18.67,8.47,8.47,Loss,-0.2,0,AB,0.5,0.546448087431694,0.0464480874316939,18.47,0,0
Munich vs Celtic Kane FGS,2025-02-18,Bet365,1,2,10,20,Smarkets,10.2,1.83,1.39,20.4,18.67,8.47,1.53,Loss,0,0,AB,0.5,0.546448087431694,0.0464480874316939,18.47,0,0
"Plezen W, Most corners and Feren TC most cards",2025-02-20,Bet365,3.75,4.75,10,47.5,Betdaq,10.2,4.1,1.07,20.4,41.82,31.62,5.88,Loss,0,0,AB,0.210526315789474,0.24390243902439,0.0333761232349166,41.62,0,0
Mbuemo & Wissa 1+ SOT,2025-02-21,Sky Bet,2,3,10,30,Betdaq,10.2,2.48,1.13,20.4,25.3,15.1,4.9,Win,0,4.9,AB,0.333333333333333,0.403225806451613,0.0698924731182796,25.1,0.195219123505976,1
Fernandes 1+ Foul committed,2025-02-21,Sky Bet,1,2,10,20,Betdaq,10.2,1.68,1.14,20.4,17.14,6.94,3.06,Loss,0,0,AB,0.5,0.595238095238095,0.0952380952380952,16.94,0,0
Mbuemo 1+ SOT,2025-02-21,Bet365,1,2,10,20,Smarkets,10.2,1.69,1.12,20.4,17.24,7.04,2.96,Win,0,2.96,AB,0.5,0.591715976331361,0.091715976331361,17.04,0.173708920187793,1
Everton Vs Man Utd BTTS,2025-02-22,Unibet,1.62,2.62,10,26.2,Smarkets,10.2,1.99,1.09,20.4,20.3,10.1,6.1,Win,0,6.1,AB,0.381679389312977,0.50251256281407,0.120833173501093,20.1,0.303482587064677,1
Ollie Watkins Cole palmer SOT 1+,2025-02-23,Betway,1.75,2.75,10,27.5,Betdaq,10.2,2.48,1.08,20.4,25.3,15.1,2.4,Win,0,2.4,AB,0.363636363636364,0.403225806451613,0.0395894428152493,25.1,0.0956175298804781,1
Ollie Watkins Cole palmer SOT 1+,2025-02-23,Betway,1.75,2.75,10,27.5,Betdaq,10.2,2.48,1.1,20.4,25.3,15.1,2.4,Win,0,2.4,AB,0.363636363636364,0.403225806451613,0.0395894428152493,25.1,0.0956175298804781,1
Shankland 2+ SOT,2025-02-23,Sky Bet,3,4,10,40,Smarkets,10,3.75,1.11,20,37.5,27.5,2.5,Loss,0,-0.2,AB,0.25,0.266666666666667,0.0166666666666667,37.5,-0.00533333333333333,0
Salah anytime goal or assist,2025-02-23,PP,1,2,20,40,Smarkets,20,1.94,1.16,40,38.8,18.8,1.2,Win,0,1.2,AB,0.5,0.515463917525773,0.0154639175257733,38.8,0.0309278350515464,1
"James, Piroe & Campbell 1+ SOT",2025-02-24,PP,4,5,10,50,Smarkets,10.2,4.9,1.04,20.4,49.98,39.78,0.22,Loss,0,0,AB,0.2,0.204081632653061,0.00408163265306119,49.78,0,0
Watkins 1+ SOT,2025-02-25,Bet365,1,2,10,20,Smarkets,10.2,1.73,1.26,20.4,17.65,7.45,2.55,Loss,0,0,AB,0.5,0.578034682080925,0.0780346820809249,17.45,0,0
Watkins 2+ SOT,2025-02-25,Pricedup,3,4,10,40,Smarkets,10.2,3.9,1.18,20.4,39.78,29.58,0.42,Loss,0,0,AB,0.25,0.256410256410256,0.00641025641025644,39.58,0,0
"Marmoush SOT, BTTS, both teams card",2025-02-26,Bet365,2,3,10,30,Smarkets,10.2,2.8,1.26,20.4,28.56,18.36,1.64,Loss,0,0,AB,0.333333333333333,0.357142857142857,0.0238095238095238,28.36,0,0
Juventus -2.5 handicap,2025-02-26,Unibet,2.25,3.25,10,32.5,Smarkets,10.2,3.05,1.04,20.4,31.11,20.91,1.59,Loss,0,0,AB,0.307692307692308,0.327868852459016,0.0201765447667087,30.91,0,0
